322.1082 	EXP 	Rect: autoDraw = None
322.1082 	EXP 	Rect: autoDraw = None
322.1082 	EXP 	Rect: autoDraw = None
322.1082 	EXP 	Rect: autoDraw = None
322.1082 	EXP 	TextStim: opacity = None
322.1082 	EXP 	Set debugText opacity=0.0
322.1082 	EXP 	Set debugText text=targetStart: 0.7
target_time: 200
target_side: none
cue_side: right
322.1082 	EXP 	Rect: pos = None
322.1082 	EXP 	Set cue pos=[ 8.  0.]
322.1082 	EXP 	Rect: pos = None
322.1082 	EXP 	Set target pos=[ 0.  0.]
322.1082 	EXP 	Rect: opacity = None
322.1082 	EXP 	Set target opacity=0.0
322.1082 	EXP 	TextStim: autoDraw = None
322.1082 	EXP 	Rect: autoDraw = None
322.1082 	EXP 	Rect: autoDraw = None
322.1082 	EXP 	Rect: autoDraw = None
322.6093 	EXP 	Rect: autoDraw = None
322.7378 	EXP 	Rect: autoDraw = None
322.7866 	EXP 	Rect: autoDraw = None
322.8885 	DATA 	Keypress: space
323.2868 	EXP 	Rect: autoDraw = None
324.0825 	EXP 	New trial (rep=0, index=3): {u'target_side': u'right', u'target_time': 200, u'cue_side': u'left'}
324.1084 	EXP 	TextStim: autoDraw = None
324.1084 	EXP 	Rect: autoDraw = None
324.1084 	EXP 	Rect: autoDraw = None
324.1084 	EXP 	Rect: autoDraw = None
324.1084 	EXP 	Rect: autoDraw = None
324.1084 	EXP 	Rect: autoDraw = None
324.1084 	EXP 	TextStim: opacity = None
324.1084 	EXP 	Set debugText opacity=0.0
324.1084 	EXP 	Set debugText text=targetStart: 0.7
target_time: 200
target_side: right
cue_side: left
324.1084 	EXP 	Rect: pos = None
324.1084 	EXP 	Set cue pos=[-8.  0.]
324.1084 	EXP 	Rect: pos = None
324.1084 	EXP 	Set target pos=[ 8.  0.]
324.1084 	EXP 	Rect: opacity = None
324.1084 	EXP 	Set target opacity=1.0
324.1084 	EXP 	TextStim: autoDraw = None
324.1084 	EXP 	Rect: autoDraw = None
